"TripType","VisitNumber","Weekday","Upc","ScanCount","DepartmentDescription","FinelineNumber"
999,5,"Friday",68113152929,-1,"FINANCIAL SERVICES",1000
30,7,"Friday",60538815980,1,"SHOES",8931
30,7,"Friday",7410811099,1,"PERSONAL CARE",4504
26,8,"Friday",2238403510,2,"PAINT AND ACCESSORIES",3565
26,8,"Friday",2006613744,2,"PAINT AND ACCESSORIES",1017
26,8,"Friday",2006618783,2,"PAINT AND ACCESSORIES",1017
26,8,"Friday",2006613743,1,"PAINT AND ACCESSORIES",1017
26,8,"Friday",7004802737,1,"PAINT AND ACCESSORIES",2802
26,8,"Friday",2238495318,1,"PAINT AND ACCESSORIES",4501
26,8,"Friday",2238400200,-1,"PAINT AND ACCESSORIES",3565
26,8,"Friday",5200010239,1,"DSD GROCERY",4606
26,8,"Friday",88679300501,2,"PAINT AND ACCESSORIES",3504
26,8,"Friday",22006000000,1,"MEAT - FRESH & FROZEN",6009
26,8,"Friday",2236760452,1,"PAINT AND ACCESSORIES",7
26,8,"Friday",88679300501,-1,"PAINT AND ACCESSORIES",3504
26,8,"Friday",2238400200,2,"PAINT AND ACCESSORIES",3565
26,8,"Friday",3019294203,1,"PAINT AND ACCESSORIES",2801
26,8,"Friday",72450408840,1,"PAINT AND ACCESSORIES",1028
26,8,"Friday",25541500000,2,"DAIRY",1305
26,8,"Friday",2310010776,1,"PETS AND SUPPLIES",3300
26,8,"Friday",72450403700,2,"PAINT AND ACCESSORIES",1018
26,8,"Friday",7874204967,1,"HOUSEHOLD CHEMICALS/SUPP",707
26,8,"Friday",5114139038,1,"PAINT AND ACCESSORIES",4415
26,8,"Friday",5114197561,1,"PAINT AND ACCESSORIES",4415
26,8,"Friday",3270011053,3,"PETS AND SUPPLIES",1001
26,8,"Friday",,1,"NULL",
8,9,"Friday",1070080727,1,"IMPULSE MERCHANDISE",115
8,9,"Friday",3107,1,"PRODUCE",103
8,9,"Friday",4011,1,"PRODUCE",5501
8,10,"Friday",6414410235,1,"DSD GROCERY",2008
8,10,"Friday",2800053970,1,"CANDY, TOBACCO, COOKIES",115
8,10,"Friday",7794800902,1,"DSD GROCERY",7950
35,11,"Friday",4178900743,1,"GROCERY DRY GOODS",3114
35,11,"Friday",7800002374,1,"DSD GROCERY",3467
35,11,"Friday",2840028204,1,"IMPULSE MERCHANDISE",808
35,11,"Friday",7920018317,1,"IMPULSE MERCHANDISE",110
41,12,"Friday",7603138508,1,"BOYS WEAR",654
41,12,"Friday",3700001196,1,"PERSONAL CARE",5050
41,12,"Friday",88530635155,1,"BOYS WEAR",639
41,12,"Friday",3500076633,1,"PERSONAL CARE",203
41,12,"Friday",5460010568,1,"HOUSEHOLD CHEMICALS/SUPP",52
41,12,"Friday",1920076878,1,"HOUSEHOLD CHEMICALS/SUPP",6010
41,12,"Friday",72503326306,1,"SHOES",3031
21,15,"Friday",2899521885,1,"FABRICS AND CRAFTS",1056
21,15,"Friday",2899521479,1,"FABRICS AND CRAFTS",1059
21,15,"Friday",2899521979,1,"FABRICS AND CRAFTS",1062
21,15,"Friday",2898195004,2,"FABRICS AND CRAFTS",514
21,15,"Friday",2899521887,1,"FABRICS AND CRAFTS",1057
21,15,"Friday",501138607481,1,"FABRICS AND CRAFTS",1309
21,15,"Friday",2898122051,1,"FABRICS AND CRAFTS",514
21,15,"Friday",501138610338,1,"FABRICS AND CRAFTS",1309
6,17,"Friday",2840009251,1,"DSD GROCERY",3352
